# Codepoint	Character	Name	SVG file	CSS class
U+A5EA	ꗪ	1C	1C.svg	_1c-icon
U+EA28		1C, Alt	1C-Alt.svg	_1c-alt-icon
U+E9E8		3D Model	3D-Model.svg	model-icon
U+E900		3DS Max	3DS-Max.svg	maxscript-icon
U+EB73		4D	4D.svg	_4d-icon
U+EB79		A+	A+.svg	a-plus-icon
U+E92B		ABAP	ABAP.svg	abap-icon
U+EA4E		ABIF	ABIF.svg	abif-icon
U+237A	⍺	Acre	Acre.svg	acre-icon
U+E92E		ActionScript	ActionScript.svg	as-icon
U+E90B		Ada	Ada.svg	ada-icon
U+1D235	𝈵	Adobe	Adobe.svg	
U+EB5F		Adobe Acrobat	Adobe-Acrobat.svg	
U+E9F3		Adobe After Effects	Adobe-AfterEffects.svg	ae-icon
U+EB41		Adobe Animate	Adobe-Animate.svg	animate-icon
U+3373	㍳	Adobe Audition	Adobe-Audition.svg	
U+EB61		Adobe Bridge	Adobe-Bridge.svg	
U+EB62		Adobe Character Animator	Adobe-CharacterAnimator.svg	
U+EB5E		Adobe Creative Cloud	Adobe-CreativeCloud.svg	
U+EB63		Adobe Dimension	Adobe-Dimension.svg	
U+EB64		Adobe Dreamweaver	Adobe-Dreamweaver.svg	
U+EB43		Adobe Flash	Adobe-Flash.svg	
U+EB65		Adobe Fuse	Adobe-Fuse.svg	
U+E6B4		Adobe Illustrator	Adobe-Illustrator.svg	ai-icon
U+1F18B	🆋	Adobe InCopy	Adobe-InCopy.svg	
U+E9F4		Adobe InDesign	Adobe-InDesign.svg	indesign-icon
U+EB67		Adobe Lightroom	Adobe-Lightroom.svg	
U+EB68		Adobe Media Encoder	Adobe-MediaEncoder.svg	
U+E6B8		Adobe Photoshop	Adobe-Photoshop.svg	psd-icon
U+EB69		Adobe Prelude	Adobe-Prelude.svg	
U+E9F5		Adobe Premiere	Adobe-Premiere.svg	premiere-icon
U+EB6A		Adobe Premiere Rush	Adobe-PremiereRush.svg	
U+EB6B		Adobe XD	Adobe-XD.svg	
U+00E6	æ	Aeternity	Aeternity.svg	
U+EB2C		AffectScript	AffectScript.svg	affectscript-icon
U+EABB		AffinityDesigner	AffinityDesigner.svg	affinity-icon
U+1315A	𓅚	Agda	Agda.svg	agda-icon
U+EA0E		Akka	Akka.svg	
U+EB27		Alacritty	Alacritty.svg	alacritty-icon
U+EB28		Alacritty, Alt	Alacritty-Alt.svg	alacritty-alt-icon
U+29CB	⧋	Alex	Alex.svg	alex-icon
U+E935		Alloy	Alloy.svg	alloy-icon
U+E9FF		Alpine Linux	Alpine-Linux.svg	alpine-icon
U+EB59		AMD	AMD.svg	
U+26BD	⚽	AmigaOS	AmigaOS.svg	
U+E94E		AMPL	AMPL.svg	ampl-icon
U+EB32		AmuseWiki	AmuseWiki.svg	amusewiki-icon
U+EB7D		Analytica	Analytica.svg	analytica-icon
U+EA5B		AngelScript	AngelScript.svg	angelscript-icon
U+EAED		AnimeStudio	AnimeStudio.svg	animestudio-icon
U+24B6	Ⓐ	Ansible	Ansible.svg	ansible-icon
U+0061	a	Ansible, Alt	Ansible-Alt.svg	
U+E92C		ANTLR	ANTLR.svg	antlr-icon
U+2591	░	Antwar	Antwar.svg	antwar-icon
U+EACF		AnyScript	AnyScript.svg	anyscript-icon
U+E93E		Apache ANT	Apache-ANT.svg	ant-icon
U+E92D		API Blueprint	API-Blueprint.svg	api-icon
U+EB99		API Extractor	APIExtractor.svg	apiextractor-icon
U+234B	⍋	APL	APL.svg	apl-icon
U+E909		APL, Old	APL-Old.svg	
U+1F110	🄐	Apollo	Apollo.svg	apollo-icon
U+EB54		Apollo Guidance Computer (AGC)	AGC.svg	
U+E925		Apple	Apple.svg	apple-icon
U+E923		Appveyor	Appveyor.svg	appveyor-icon
U+E92F		Arc	Arc.svg	arc-icon
U+0041	A	Arch Linux	Arch-Linux.svg	
U+E930		Arduino	Arduino.svg	arduino-icon
U+EB5B		ARM	ARM.svg	
U+24D0	ⓐ	Art Text	ArtText.svg	arttext-icon
U+1D5EE	𝗮	Art Text 4	ArtText4.svg	arttext4-icon
U+E918		AsciiDoc	AsciiDoc.svg	asciidoc-icon
U+EAC7		Asciidoctor	Asciidoctor.svg	asciidoctor-icon
U+EB53		Assembly, AGC	Assembly-AGC.svg	asm-agc-icon
U+EB52		Assembly, AMD	Assembly-AMD.svg	
U+EB51		Assembly, ARM	Assembly-ARM.svg	asm-arm-icon
U+EB50		Assembly, AT&T	Assembly-ATT.svg	
U+EB6C		Assembly, AVR	Assembly-AVR.svg	asm-avr-icon
U+EB4F		Assembly, Generic	Assembly-Generic.svg	asm-icon
U+EB60		Assembly, Hitachi	Assembly-Hitachi.svg	asm-hitachi-icon
U+EB4E		Assembly, Intel	Assembly-Intel.svg	asm-intel-icon
U+EB4D		Assembly, Motorola	Assembly-Motorola.svg	asm-m68k-icon
U+EB4C		Assembly, PPC	Assembly-PowerPC.svg	
U+EB4B		Assembly, RISC-V	Assembly-RISCV.svg	
U+EB4A		Assembly, SPARC	Assembly-SPARC.svg	
U+EB48		Assembly, VAX	Assembly-VAX.svg	asm-vax-icon
U+EB47		Assembly, Zilog	Assembly-Zilog.svg	asm-zilog-icon
U+EAE5		Asymptote	Asymptote.svg	asymptote-icon
U+EAE3		Asymptote, Alt	Asymptote-Alt.svg	
U+2649	♉	Atoum	Atoum.svg	atoum-icon
U+E934		ATS	ATS.svg	ats-icon
U+EB55		AT&T	ATT.svg	
U+E9F9		Audacity	Audacity.svg	audacity-icon
U+E931		Augeas	Augeas.svg	augeas-icon
U+EA48		Aurelia	Aurelia.svg	aurelia-icon
U+E932		AutoHotkey	AutoHotkey.svg	ahk-icon
U+E933		AutoIt	AutoIt.svg	autoit-icon
U+EBB4		Automator	Automator.svg	automator-icon
U+EB6D		AVR	AVR.svg	
U+EAA3		Avro	Avro.svg	avro-icon
U+1F427	🐧	Awk	Awk.svg	awk-icon
U+1F680	🚀	Azure Pipelines	Azure-Pipelines.svg	azurepipelines-icon
U+E91F		Babel	Babel.svg	babel-icon
U+EAC8		Ballerina	Ballerina.svg	ballerina-icon
U+EACD		Bazaar	Bazaar.svg	bazaar-icon
U+EAD2		Bazel	Bazel.svg	bazel-icon
U+EA5A		Bazel, Old	Bazel-Old.svg	
U+EA89		Behat	Behat.svg	behat-icon
U+EA59		BEM	BEM.svg	bem-icon
U+E601		BibTeX	BibTeX.svg	bibtex-icon
U+1F6B2	🚲	Bikeshed	Bikeshed.svg	bikeshed-icon
U+EB29		Biml	Biml.svg	biml-icon
U+EBA4		Binder	Binder.svg	binder-icon
U+EA6E		BinTray	BinTray.svg	bintray-icon
U+1F402	🐂	Bison	Bison.svg	bison-icon
U+EA2A		bitHound	bitHound.svg	bithound-icon
U+E9FA		Blender	Blender.svg	blender-icon
U+EBA5		BlitzBASIC	BlitzBASIC.svg	blitzbasic-icon
U+EBA3		Bloc	Bloc.svg	bloc-icon
U+E93C		Bluespec	Bluespec.svg	bluespec-icon
U+2A74	⩴	BNF	BNF.svg	bnf-icon
U+E939		Boo	Boo.svg	boo-icon
U+1F441	👁	Bors	Bors.svg	bors-icon
U+EB96		Bosque	Bosque.svg	bosque-icon
U+E93A		Brainfuck	Brainfuck.svg	brain-icon
U+E9D6		Brakeman	Brakeman.svg	brakeman-icon
U+E93B		Bro	Bro.svg	bro-icon
U+E922		Broccoli	Broccoli.svg	broccoli-icon
U+EAA2		Brotli	Brotli.svg	brotli-icon
U+EA6C		Brotli, Old	Brotli-Old.svg	
U+EA80		Browserslist	Browserslist.svg	browserslist-icon
U+0062	b	Browsersync	Browsersync.svg	browsersync-icon
U+EA47		Brunch	Brunch.svg	brunch-icon
U+EA46		Buck	Buck.svg	buck-icon
U+F103		Build Boot	Build-Boot.svg	boot-icon
U+EBAD		Buildkite	Buildkite.svg	buildkite-icon
U+EA45		Bundler	Bundler.svg	bundler-icon
U+E962		BYOND	BYOND.svg	byond-icon
U+EB7B		C#	C%23.svg	
U+EB7C		C++	C++.svg	
U+E9E2		C# Script	C%23-Script.svg	csscript-icon
U+E9C2		Cabal	Cabal.svg	cabal-icon
U+1F512	🔒	Caddy	Caddy.svg	caddy-icon
U+EA58		Caddy, Old	Caddy-Old.svg	
U+EA9A		Caffe	Caffe.svg	caffe-icon
U+EAB6		Caffe2	Caffe2.svg	caffe2-icon
U+EA92		Cairo	Cairo.svg	
U+E9E3		Cake	Cake.svg	cake-icon
U+E924		Cakefile	Cakefile.svg	cakefile-icon
U+EA43		CakePHP	CakePHP.svg	cakephp-icon
U+E9D3		CakePHP, Old	CakePHP-Old.svg	
U+EBA1		Calva	Calva.svg	calva-icon
U+EA98		Carthage	Carthage.svg	carthage-icon
U+EBB6		CASC	CASC.svg	casc-icon
U+E94F		Ceylon	Ceylon.svg	ceylon-icon
U+0063	c	Chai	Chai.svg	chai-icon
U+E950		Chapel	Chapel.svg	chapel-icon
U+EA0B		ChartJS	ChartJS.svg	chartjs-icon
U+1F406	🐆	Cheetah3D	Cheetah3D.svg	cheetah3d-icon
U+EA42		Chef	Chef.svg	chef-icon
U+1F36B	🍫	Chocolatey	Chocolatey.svg	chocolatey-icon
U+E943		ChucK	ChucK.svg	chuck-icon
U+EA12		CircleCI	CircleCI.svg	circleci-icon
U+E951		Cirru	Cirru.svg	cirru-icon
U+EA0C		CKEditor	CKEditor.svg	
U+E952		Clarion	Clarion.svg	clarion-icon
U+E95B		Clean	Clean.svg	clean-icon
U+E95C		Click	Click.svg	click-icon
U+E940		CLIPS	CLIPS.svg	clips-icon
U+F104		ClojureJS	ClojureJS.svg	cljs-icon
U+EA82		Closure Template	ClosureTemplate.svg	closure-tpl-icon
U+EAD0		CloudFoundry	CloudFoundry.svg	cloudfoundry-icon
U+E93F		Cmake	Cmake.svg	cmake-icon
U+EBB5		CNAB	CNAB.svg	cnab-icon
U+EA44		COBOL	COBOL.svg	cobol-icon
U+EA97		CocoaPods	CocoaPods.svg	cocoapods-icon
U+EA8B		Codacy	Codacy.svg	codacy-icon
U+E9D5		Code Climate	Code-Climate.svg	cc-icon
U+2602	☂	Codecov	Codecov.svg	codecov-icon
U+EA41		CodeKit	CodeKit.svg	codekit-icon
U+EB8F		CodeMeta	CodeMeta.svg	codemeta-icon
U+EA0D		CodeMirror	CodeMirror.svg	
U+EA6A		CodeShip	CodeShip.svg	codeship-icon
U+E929		ColdFusion	ColdFusion.svg	cf-icon
U+EBB3		Commitizen	Commitizen.svg	commitizen-icon
U+1F191	🆑	CommitLint	CommitLint.svg	commitlint-icon
U+E972		Common Lisp	Common-Lisp.svg	cl-icon
U+E942		Component Pascal	Component-Pascal.svg	cp-icon
U+E683		Composer	Composer.svg	composer-icon
U+EB46		Computable Document Format	CDF.svg	cdf-icon
U+EAD1		Conan	Conan.svg	conan-icon
U+EB3C		Conda	Conda.svg	conda-icon
U+F07C		Config	Config.svg	config-icon
U+EB18		Config, CoffeeScript	Config-CoffeeScript.svg	config-coffee-icon
U+EB12		Config, Go	Config-Go.svg	config-go-icon
U+EB14		Config, Haskell	Config-Haskell.svg	config-hs-icon
U+EB1A		Config, JS	Config-JS.svg	config-js-icon
U+EB19		Config, Perl	Config-Perl.svg	config-perl-icon
U+EB15		Config, Python	Config-Python.svg	config-python-icon
U+EB16		Config, React	Config-React.svg	config-react-icon
U+EB17		Config, Ruby	Config-Ruby.svg	config-ruby-icon
U+EB13		Config, Rust	Config-Rust.svg	config-rust-icon
U+EB1B		Config, TypeScript	Config-TypeScript.svg	config-ts-icon
U+EAA6		CoNLL	CoNLL.svg	conll-icon
U+E95F		Coq	Coq.svg	coq-icon
U+EA11		Cordova	Cordova.svg	cordova-icon
U+EA90		CorelDRAW	CorelDRAW.svg	coreldraw-icon
U+EA91		CorelDRAW, Alt	CorelDRAW-Alt.svg	corel-icon
U+272A	✪	Coveralls	Coveralls.svg	coveralls-icon
U+EA87		CPAN	CPAN.svg	cpan-icon
U+EB8D		CpcdosC+	CpcdosC+.svg	cpcdosc-icon
U+EB89		Craft Tweaker	CraftTweaker.svg	crafttweaker-icon
U+E95E		Creole	Creole.svg	creole-icon
U+EAD3		Crowdin	Crowdin.svg	crowdin-icon
U+E902		Crystal	Crystal.svg	crystal-icon
U+E9F0		CSound	CSound.svg	csound-icon
U+EB92		Cubit	Cubit.svg	cubit-icon
U+F02B		Cucumber	Cucumber.svg	cucumber-icon
U+EB76		Cuneiform	Cuneiform.svg	cuneiform-icon
U+EB7A		Curl (language)	Curl-Lang.svg	
U+002F	/	cURL (program)	cURL.svg	curl-icon
U+EB78		Curry	Curry.svg	curry-icon
U+1F41F	🐟	CVS	CVS.svg	cvs-icon
U+29D9	⧙	CWL	CWL.svg	cwl-icon
U+E963		Cython	Cython.svg	cython-icon
U+EA10		D3	D3.svg	d3-icon
U+EB8C		Dafny	Dafny.svg	dafny-icon
U+E964		Darcs	Darcs-Patch.svg	darcs-icon
U+F07D		Dashboard	Dashboard.svg	dashboard-icon
U+EA99		DataWeave	DataWeave.svg	dataweave-icon
U+E9F1		dBASE	dBASE.svg	dbase-icon
U+1F5CC	🗌	Default	Default.svg	default-icon
U+EA40		Delphi	Delphi.svg	delphi-icon
U+EAEF		Deno	Deno.svg	deno-icon
U+EB3E		Dependabot	Dependabot.svg	dependabot-icon
U+EB83		DevContainer	DevContainer.svg	devcontainer-icon
U+EA57		DeviceTree	DeviceTree.svg	devicetree-icon
U+1F58B	🖋	Dhall	Dhall.svg	dhall-icon
U+EAB5		Dia	Dia.svg	dia-icon
U+E960		Diff	Diff.svg	diff-icon
U+EB03		Digdag	Digdag.svg	digdag-icon
U+2624	☤	DNA	DNA.svg	dna-icon
U+13167	𓅧	DocBook	DocBook.svg	docbook-icon
U+F106		Dockerfile	Docker.svg	docker-icon
U+EA3F		Doclets	Doclets.svg	doclets-icon
U+21B9	↹	DocPad	DocPad.svg	docpad-icon
U+EB21		Docz	Docz.svg	
U+E946		Dogescript	Dogescript.svg	doge-icon
U+EA71		DOM	DOM.svg	
U+1F3C1	🏁	DoneJS	DoneJS.svg	
U+EAF2		DOSBox	DOSBox.svg	dosbox-icon
U+EAF0		DOSBox, Alt	DOSBox-Alt.svg	
U+EBB8		dotenv	dotenv.svg	dotenv-icon
U+EB0B		doT.js	dotjs.svg	dotjs-icon
U+E928		Doxygen	Doxygen.svg	doxygen-icon
U+EAFD		DragonflyBSD	DragonflyBSD.svg	
U+1F44C	👌	Dragula	Dragula.svg	dragula-icon
U+EB93		draw.io	draw.io.svg	drawio-icon
U+EA3D		Drone	Drone.svg	drone-icon
U+EBA2		DUB	DUB.svg	dub-icon
U+EB98		DVC	DVC.svg	dvc-icon
U+E90C		Dyalog	Dyalog.svg	dyalog-icon
U+EA15		DyLib	DyLib.svg	dylib-icon
U+0045	E	E	E.svg	e-icon
U+E965		Eagle	Eagle.svg	eagle-icon
U+EA85		EasyBuild	EasyBuild.svg	easybuild-icon
U+E9C9		eC	eC.svg	ec-icon
U+E966		Ecere	Ecere.svg	ecere-icon
U+EB80		ECLiPSe (language)	ECLiPSe-Lang.svg	eclipse-lang-icon
U+EA78		Edge	Edge.svg	edge-icon
U+EA1B		EditorConfig	EditorConfig.svg	editorconfig-icon
U+E967		Eiffel	Eiffel.svg	eiffel-icon
U+EA4B		EJS	EJS.svg	ejs-icon
U+EA27		Electron	Electron.svg	electron-icon
U+24D4	ⓔ	ElementaryOS	ElementaryOS.svg	
U+F102		Elm	Elm.svg	elm-icon
U+E926		Emacs	Emacs.svg	emacs-icon
U+E61B		Ember	Ember.svg	ember-icon
U+E968		EmberScript	EmberScript.svg	em-icon
U+EAD4		Ensime	Ensime.svg	ensime-icon
U+EA0A		EQ	EQ.svg	eq-icon
U+EA5C		ESDoc	ESDoc.svg	esdoc-icon
U+EA0F		ESLint	ESLint.svg	eslint-icon
U+E90E		ESLint, Old	ESLint-Old.svg	
U+EB71		Expo	Expo.svg	expo-icon
U+E94B		Fabfile	Fabfile.svg	fabfile-icon
U+1F4DC	📜	Fabric	Fabric.svg	fabric-icon
U+E96A		Factor	Factor.svg	factor-icon
U+EAE4		Falcon	Falcon.svg	falcon-icon
U+E96B		Fancy	Fancy.svg	fancy-icon
U+E96F		Fantom	Fantom.svg	fantom-icon
U+13168	𓅨	Fauna	Fauna.svg	fauna-icon
U+22C0	⋀	Faust	Faust.svg	faust-icon
U+E9FC		FBX	FBX.svg	fbx-icon
U+EB20		Fexl	Fexl.svg	fexl-icon
U+EA22		FFmpeg	FFmpeg.svg	
U+24BB	Ⓕ	Fiddle	Fiddle.svg	fiddle-icon
U+EBBA		Figma	Figma.svg	figma-icon
U+1D4BB	𝒻	Final Draft	FinalDraft.svg	finaldraft-icon
U+E9E9		Finder	Finder.svg	finder-icon
U+EA7F		Firebase	Firebase.svg	firebase-icon
U+26A1	⚡	Firebase Bolt	Firebase-Bolt.svg	firebase-bolt-icon
U+1F704	🜄	Flask	Flask.svg	flask-icon
U+EAD5		Floobits	Floobits.svg	floobits-icon
U+E921		Flow	Flow.svg	flow-icon
U+EAEB		Flutter	Flutter.svg	flutter-icon
U+E969		Flux	Flux.svg	flux-icon
U+E90F		Font	Font.svg	
U+EAAB		Font, Bitmap	Font-Bitmap.svg	font-bitmap-icon
U+EAAA		Font, Outline	Font-Outline.svg	font-icon
U+FB00	ﬀ	FontForge	FontForge.svg	ff-icon
U+2933	⤳	For the Record	ForTheRecord.svg	ftr-icon
U+2442	⑂	Fork	Fork.svg	fork-icon
U+E90A		Fortran	Fortran.svg	fortran-icon
U+EAC3		FOSSA	FOSSA.svg	fossa-icon
U+EAD6		Fossil	Fossil.svg	fossil-icon
U+1F135	🄵	Fountain	Fountain.svg	fountain-icon
U+EA56		Franca	Franca.svg	franca-icon
U+EB07		FreeDesktop	FreeDesktop.svg	
U+EAF1		FreeDOS	FreeDOS.svg	
U+E970		FreeMarker	FreeMarker.svg	freemarker-icon
U+EB7F		FreeMat	FreeMat.svg	
U+E96E		Frege	Frege.svg	frege-icon
U+EB97		ftHTML	ftHTML.svg	fthtml-icon
U+EA09		FuelUX	FuelUX.svg	fuelux-icon
U+EAD7		FuseBox	FuseBox.svg	fusebox-icon
U+EB77		Futhark	Futhark.svg	futhark-icon
U+EB74		Galaxy	Galaxy.svg	galaxy-icon
U+EAD8		Galen	Galen.svg	galen-icon
U+E975		GameMaker	GameMaker.svg	gml-icon
U+E973		GAMS	GAMS.svg	gams-icon
U+E971		GAP	GAP.svg	gap-icon
U+24BC	Ⓖ	Gatsby	Gatsby.svg	gatsby-icon
U+EB7E		GAUSS	GAUSS.svg	gauss-icon
U+EA08		GDB	GDB.svg	gdb-icon
U+E976		Genshi	Genshi.svg	genshi-icon
U+223F	∿	GenStat	GenStat.svg	genstat-icon
U+E96D		Gentoo	Gentoo.svg	gentoo-icon
U+EA8F		Ghostscript	Ghostscript.svg	
U+EA88		GIMP	GIMP.svg	gimp-icon
U+EA3C		GitLab	GitLab.svg	gitlab-icon
U+1D5A6	𝖦	Gitpod	Gitpod.svg	gitpod-icon
U+E938		Glade	Glade.svg	glade-icon
U+EACB		Glide	Glide.svg	glide-icon
U+EAA7		glTF	glTF.svg	gltf-icon
U+0047	G	Glyphs	Glyphs.svg	glyphs-icon
U+EA25		GN	GN.svg	gn-icon
U+E679		GNU	GNU.svg	gnu-icon
U+1F4C8	📈	Gnuplot	Gnuplot.svg	gnuplot-icon
U+EAAE		Go	Go.svg	go-icon
U+E624		Go, Old	Go-Old.svg	
U+E974		Godot	Godot.svg	godot-icon
U+E979		Golo	Golo.svg	golo-icon
U+EB90		GoReleaser	GoReleaser.svg	goreleaser-icon
U+E97A		Gosu	Gosu.svg	gosu-icon
U+E903		Gradle	Gradle.svg	gradle-icon
U+E978		Grammatical Framework	GF.svg	gf-icon
U+1F4C9	📉	Grapher	Grapher.svg	grapher-icon
U+EA8A		Graphite	Graphite.svg	graphite-icon
U+E97C		GraphQL	GraphQL.svg	graphql-icon
U+EBAE		GraphQL Code Generator	GraphQL-CodeGenerator.svg	gql-codegen-icon
U+E97D		GraphViz	GraphViz.svg	graphviz-icon
U+EB02		Gravit Designer	Gravit-Designer.svg	gvdesign-icon
U+EB0C		Greenkeeper	Greenkeeper.svg	greenkeeper-icon
U+EAE7		Gridsome	Gridsome.svg	gridsome-icon
U+E904		Groovy	Groovy.svg	groovy-icon
U+E611		Grunt	Grunt.svg	grunt-icon
U+E610		Gulp	Gulp.svg	gulp-icon
U+E9CE		Hack	Hack.svg	hack-icon
U+F15B		Haml	Haml.svg	haml-icon
U+E97B		Harbour	Harbour.svg	harbour-icon
U+E97E		HashiCorp	HashiCorp.svg	hashicorp-icon
U+EBAB		Haskell IDE Engine	HIE.svg	hie-icon
U+E907		Haxe	Haxe.svg	haxe-icon
U+EA3B		HaxeDevelop	HaxeDevelop.svg	haxedevelop-icon
U+2695	⚕	Helix	Helix.svg	helix-icon
U+33CB	㏋	Hewlett-Packard	HewlettPackard.svg	hp-icon
U+EB66		Hitachi	Hitachi.svg	
U+EAC2		HJSON	HJSON.svg	hjson-icon
U+1F37A	🍺	Homebrew	Homebrew.svg	brew-icon
U+1F998	🦘	Hop	Hop.svg	
U+EA4D		Hoplon	Hoplon.svg	hoplon-icon
U+1F300	🌀	Houdini	Houdini.svg	houdini-icon
U+EAAF		HoundCI	HoundCI.svg	houndci-icon
U+24BD	Ⓗ	Hugo	Hugo.svg	
U+1F436	🐶	Husky	Husky.svg	husky-icon
U+E97F		Hy	Hy.svg	hy-icon
U+1F4C3	📃	Hygen	Hygen.svg	hygen-icon
U+EB37		Hyper	Hyper.svg	hyper-icon
U+EAEA		IcoMoon	IcoMoon.svg	icomoon-icon
U+EA23		ICU	ICU.svg	
U+E947		IDL	IDL.svg	idl-icon
U+E983		Idris	Idris.svg	idris-icon
U+E980		IGOR Pro	IGOR-Pro.svg	igorpro-icon
U+EAF4		illumos	illumos.svg	
U+F012		Image	Image.svg	
U+26FF	⛿	Imba	Imba.svg	imba-icon
U+EAE9		Imba, Alt	Imba-Alt.svg	
U+1F4A0	💠	Imba, Old	Imba-Old.svg	
U+EBBF		Imgbot	Imgbot.svg	imgbot-icon
U+EB1F		InfluxData	InfluxData.svg	
U+E984		Inform 7	Inform7.svg	inform7-icon
U+EACE		Ink	Ink.svg	ink-icon
U+EA8E		Inkscape	Inkscape.svg	inkscape-icon
U+E985		Inno Setup	InnoSetup.svg	inno-icon
U+EB5A		Intel	Intel.svg	
U+E981		Io	Io.svg	io-icon
U+E982		Ioke	Ioke.svg	ioke-icon
U+F14B		Ionic Project	Ionic-Project.svg	ionic-icon
U+E945		Isabelle	Isabelle.svg	isabelle-icon
U+1F54C	🕌	Istanbul	Istanbul.svg	istanbul-icon
U+E937		J	J.svg	j-icon
U+E90D		Jade	Jade.svg	jade-icon
U+E948		Jake	Jakefile.svg	jake-icon
U+EB2A		Janet	Janet.svg	janet-icon
U+EA3A		Jasmine	Jasmine.svg	jasmine-icon
U+E667		Jenkins	Jenkins.svg	jenkins-icon
U+EA39		Jest	Jest.svg	jest-icon
U+E944		Jinja	Jinja.svg	jinja-icon
U+EA55		Jison	Jison.svg	jison-icon
U+EA75		Jolie	Jolie.svg	jolie-icon
U+EB95		jscpd	jscpd.svg	jscpd-icon
U+EABE		JSON-1	JSON-1.svg	json-icon
U+EABD		JSON-2	JSON-2.svg	
U+2478	⑸	JSON5	JSON5.svg	json5-icon
U+E958		JSON-LD	JSON-LD1.svg	jsonld-icon
U+E959		JSON-LD2	JSON-LD2.svg	sparql-icon
U+EB1E		Jsonnet	Jsonnet.svg	jsonnet-icon
U+E9E6		JSX	JSX.svg	jsx-icon
U+F101		JSX, Alt	JSX-Alt.svg	
U+F100		JSX, Atom	JSX-Atom.svg	react-icon
U+26EC	⛬	Julia	Julia.svg	julia-icon
U+EA81		Junos	Junos.svg	junos-icon
U+E987		Jupyter	Jupyter.svg	jupyter-icon
U+30AB	カ	Kaitai	Kaitai.svg	kaitai-icon
U+E9CD		Karma	Karma.svg	karma-icon
U+EAF8		Keybase	Keybase.svg	keybase-icon
U+E9E5		Keynote	Keynote.svg	keynote-icon
U+E9F8		Khronos	Khronos.svg	khronos-icon
U+EBA9		Kibo	Kibo.svg	kibo-icon
U+EA4C		KiCad	KiCad.svg	kicad-icon
U+EA38		KitchenCI	KitchenCI.svg	kitchenci-icon
U+E901		Kivy	Kivy.svg	kivy-icon
U+EB75		KNIME	KNIME.svg	
U+004B	K	Knockout	Knockout.svg	knockout-icon
U+006B	k	kOS	kOS.svg	kos-icon
U+E989		Kotlin	Kotlin.svg	kotlin-icon
U+E988		KRL	KRL.svg	krl-icon
U+2388	⎈	Kubernetes	Kubernetes.svg	kubernetes-icon
U+EB9A		Kusto	Kusto.svg	kusto-icon
U+EB9B		Kusto, Alt	Kusto-Alt.svg	
U+EA9B		Kx	Kx.svg	kx-icon
U+E98A		LabVIEW	LabVIEW.svg	labview-icon
U+E63F		Laravel	Laravel.svg	laravel-icon
U+1316B	𓅫	Lark	Lark.svg	lark-icon
U+E98C		Lasso	Lasso.svg	lasso-icon
U+1F426	🐦	Latino	Latino.svg	latino-icon
U+EA07		Leaflet	Leaflet.svg	leaflet-icon
U+004C	L	Lean	Lean.svg	lean-icon
U+EB8B		Lefthook	Lefthook.svg	lefthook-icon
U+1F44A	👊	Lefthook, Alt	Lefthook-Alt.svg	
U+F105		Leiningen	Leiningen.svg	lein-icon
U+EAB9		Lektor	Lektor.svg	lektor-icon
